type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:38:30;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:38:45;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:39:01;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:39:16;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;7;-94;50;5;SF7BW125;2025-07-03 18:39:31;{"RSSI": -94, "SNR": 7, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:39:46;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:40:02;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:40:17;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:40:32;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:40:48;{"RSSI": -95, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:41:03;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;7;-94;50;5;SF7BW125;2025-07-03 18:41:18;{"RSSI": -94, "SNR": 7, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:41:33;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:41:49;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:42:04;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:42:19;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;7;-94;50;5;SF7BW125;2025-07-03 18:42:34;{"RSSI": -94, "SNR": 7, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-94;50;5;SF7BW125;2025-07-03 18:42:50;{"RSSI": -94, "SNR": 6, "TC": 24.37}
24;0000B827EBDCE0CD;10;6;-95;50;5;SF7BW125;2025-07-03 18:43:05;{"RSSI": -95, "SNR": 6, "TC": 24.37}
