type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data;timestamp;sf;bw;config;sf_category;time_minutes;time_diff_seconds;time_diff_seconds_within_config;temperature
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:43:44;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 26.38}";2025-07-05 02:43:44;12;500;12_BW500_20B;MAX-SF12;484.06666666666666;16.0;16.0;26.38
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:44:01;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.6}";2025-07-05 02:44:01;12;500;12_BW500_20B;MAX-SF12;484.35;17.0;17.0;23.6
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:44:17;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 28.67}";2025-07-05 02:44:17;12;500;12_BW500_20B;MAX-SF12;484.6166666666667;16.0;16.0;28.67
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:44:33;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 25.48}";2025-07-05 02:44:33;12;500;12_BW500_20B;MAX-SF12;484.8833333333333;16.0;16.0;25.48
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:44:50;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 25.79}";2025-07-05 02:44:50;12;500;12_BW500_20B;MAX-SF12;485.1666666666667;17.0;17.0;25.79
24;0000B827EB24A52C;20;7;-82;20;5;SF12BW500;2025-07-05 02:45:06;"{""RSSI"": -82, ""SNR"": 7, ""TC"": 21.1}";2025-07-05 02:45:06;12;500;12_BW500_20B;MAX-SF12;485.43333333333334;16.0;16.0;21.1
24;0000B827EB24A52C;20;5;-87;20;5;SF12BW500;2025-07-05 02:45:23;"{""RSSI"": -87, ""SNR"": 5, ""TC"": 24.06}";2025-07-05 02:45:23;12;500;12_BW500_20B;MAX-SF12;485.71666666666664;17.0;17.0;24.06
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:45:39;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 28.8}";2025-07-05 02:45:39;12;500;12_BW500_20B;MAX-SF12;485.98333333333335;16.0;16.0;28.8
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 02:45:55;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 20.34}";2025-07-05 02:45:55;12;500;12_BW500_20B;MAX-SF12;486.25;16.0;16.0;20.34
24;0000B827EB24A52C;20;5;-82;20;5;SF12BW500;2025-07-05 02:46:12;"{""RSSI"": -82, ""SNR"": 5, ""TC"": 26.13}";2025-07-05 02:46:12;12;500;12_BW500_20B;MAX-SF12;486.53333333333336;17.0;17.0;26.13
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 02:46:28;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 25.22}";2025-07-05 02:46:28;12;500;12_BW500_20B;MAX-SF12;486.8;16.0;16.0;25.22
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 02:46:44;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 21.04}";2025-07-05 02:46:44;12;500;12_BW500_20B;MAX-SF12;487.06666666666666;16.0;16.0;21.04
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:47:01;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 23.52}";2025-07-05 02:47:01;12;500;12_BW500_20B;MAX-SF12;487.35;17.0;17.0;23.52
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW500;2025-07-05 02:47:17;"{""RSSI"": -83, ""SNR"": 7, ""TC"": 23.79}";2025-07-05 02:47:17;12;500;12_BW500_20B;MAX-SF12;487.6166666666667;16.0;16.0;23.79
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:47:33;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 21.94}";2025-07-05 02:47:33;12;500;12_BW500_20B;MAX-SF12;487.8833333333333;16.0;16.0;21.94
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW500;2025-07-05 02:47:50;"{""RSSI"": -83, ""SNR"": 7, ""TC"": 22.71}";2025-07-05 02:47:50;12;500;12_BW500_20B;MAX-SF12;488.1666666666667;17.0;17.0;22.71
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:48:06;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 26.3}";2025-07-05 02:48:06;12;500;12_BW500_20B;MAX-SF12;488.43333333333334;16.0;16.0;26.3
24;0000B827EB24A52C;20;7;-82;20;5;SF12BW500;2025-07-05 02:48:22;"{""RSSI"": -82, ""SNR"": 7, ""TC"": 25.52}";2025-07-05 02:48:22;12;500;12_BW500_20B;MAX-SF12;488.7;16.0;16.0;25.52
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:48:39;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 23.12}";2025-07-05 02:48:39;12;500;12_BW500_20B;MAX-SF12;488.98333333333335;17.0;17.0;23.12
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:48:55;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 20.94}";2025-07-05 02:48:55;12;500;12_BW500_20B;MAX-SF12;489.25;16.0;16.0;20.94
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:49:11;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 28.38}";2025-07-05 02:49:11;12;500;12_BW500_20B;MAX-SF12;489.51666666666665;16.0;16.0;28.38
