type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 01:59:24;{"RSSI": -71, "SNR": 7, "TC": 20.44}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 01:59:42;{"RSSI": -71, "SNR": 6, "TC": 25.05}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:00:00;{"RSSI": -71, "SNR": 7, "TC": 22.23}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:00:19;{"RSSI": -71, "SNR": 6, "TC": 23.52}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:00:37;{"RSSI": -71, "SNR": 6, "TC": 22.35}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:00:55;{"RSSI": -71, "SNR": 6, "TC": 27.36}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW125;2025-07-07 02:01:13;{"RSSI": -70, "SNR": 6, "TC": 25.14}
24;0000B827EB24A52C;20;6;-72;20;5;SF12BW125;2025-07-07 02:01:32;{"RSSI": -72, "SNR": 6, "TC": 28.19}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:01:50;{"RSSI": -71, "SNR": 6, "TC": 23.03}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:02:08;{"RSSI": -71, "SNR": 7, "TC": 28.68}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:02:27;{"RSSI": -71, "SNR": 6, "TC": 20.45}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:02:45;{"RSSI": -71, "SNR": 6, "TC": 27.35}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:03:03;{"RSSI": -71, "SNR": 6, "TC": 28.79}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 02:03:21;{"RSSI": -71, "SNR": 8, "TC": 27.55}
24;0000B827EB24A52C;20;8;-72;20;5;SF12BW125;2025-07-07 02:03:59;{"RSSI": -72, "SNR": 8, "TC": 20.73}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:04:17;{"RSSI": -71, "SNR": 7, "TC": 23.52}
24;0000B827EB24A52C;20;8;-72;20;5;SF12BW125;2025-07-07 02:04:35;{"RSSI": -72, "SNR": 8, "TC": 21.15}
24;0000B827EB24A52C;20;6;-72;20;5;SF12BW125;2025-07-07 02:04:54;{"RSSI": -72, "SNR": 6, "TC": 23.89}
24;0000B827EB24A52C;20;8;-72;20;5;SF12BW125;2025-07-07 02:05:12;{"RSSI": -72, "SNR": 8, "TC": 20.12}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:05:30;{"RSSI": -71, "SNR": 7, "TC": 25.26}
24;0000B827EB24A52C;20;8;-72;20;5;SF12BW125;2025-07-07 02:05:49;{"RSSI": -72, "SNR": 8, "TC": 22.19}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 02:06:07;{"RSSI": -71, "SNR": 8, "TC": 24.62}
24;0000B827EB24A52C;20;8;-71;20;5;SF12BW125;2025-07-07 02:06:25;{"RSSI": -71, "SNR": 8, "TC": 28.12}
24;0000B827EB24A52C;20;8;-72;20;5;SF12BW125;2025-07-07 02:06:43;{"RSSI": -72, "SNR": 8, "TC": 20.29}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:07:02;{"RSSI": -71, "SNR": 7, "TC": 28.14}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:07:20;{"RSSI": -71, "SNR": 6, "TC": 23.57}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:07:38;{"RSSI": -71, "SNR": 6, "TC": 20.54}
24;0000B827EB24A52C;20;7;-72;20;5;SF12BW125;2025-07-07 02:07:57;{"RSSI": -72, "SNR": 7, "TC": 25.32}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:08:15;{"RSSI": -71, "SNR": 7, "TC": 25.65}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:08:33;{"RSSI": -71, "SNR": 7, "TC": 22.14}
24;0000B827EB24A52C;20;7;-71;20;5;SF12BW125;2025-07-07 02:08:51;{"RSSI": -71, "SNR": 7, "TC": 22.01}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:09:10;{"RSSI": -71, "SNR": 6, "TC": 20.46}
255;0000B827EB24A52C;0;0;0;22;5;SF12BW125;2025-07-07 02:09:17;{"RSSI": 0, "SNR": 0, "DEF": "MAX-SF12-BW125-T20-END"}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:09:28;{"RSSI": -71, "SNR": 6, "TC": 21.67}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW125;2025-07-07 02:09:46;{"RSSI": -71, "SNR": 6, "TC": 23.06}
255;0000B827EB24A52C;0;0;0;24;5;SF12BW125;2025-07-07 02:12:00;{"RSSI": 0, "SNR": 0, "DEF": "MAX-SF12-BW500-T20-START"}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:12:01;{"RSSI": -70, "SNR": 6, "TC": 28.75}
24;0000B827EB24A52C;20;5;-70;20;5;SF12BW500;2025-07-07 02:12:17;{"RSSI": -70, "SNR": 5, "TC": 21.54}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:12:33;{"RSSI": -70, "SNR": 6, "TC": 28.77}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:12:49;{"RSSI": -70, "SNR": 6, "TC": 25.13}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:13:05;{"RSSI": -70, "SNR": 6, "TC": 27.06}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:13:22;{"RSSI": -70, "SNR": 6, "TC": 28.23}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:13:38;{"RSSI": -70, "SNR": 6, "TC": 21.12}
24;0000B827EB24A52C;20;5;-70;20;5;SF12BW500;2025-07-07 02:13:54;{"RSSI": -70, "SNR": 5, "TC": 28.94}
24;0000B827EB24A52C;20;6;-71;20;5;SF12BW500;2025-07-07 02:14:10;{"RSSI": -71, "SNR": 6, "TC": 20.0}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:14:26;{"RSSI": -70, "SNR": 6, "TC": 24.03}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:14:42;{"RSSI": -70, "SNR": 6, "TC": 24.29}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:14:58;{"RSSI": -70, "SNR": 6, "TC": 24.44}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:15:14;{"RSSI": -70, "SNR": 6, "TC": 23.65}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:15:30;{"RSSI": -70, "SNR": 6, "TC": 25.92}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:15:46;{"RSSI": -70, "SNR": 6, "TC": 23.65}
